tratamento,bloco,local,tempo_dias,repeticao,umidade_rel,temp_media,severidade,produtividade,sev_prop
controle,bloco_1,local_1,30,1,71,27.8,40.76,3366.7,0.40759999999999996
controle,bloco_1,local_1,30,2,58.9,30.1,84.06,3260.4,0.8406
controle,bloco_1,local_1,30,3,55,18.3,78.21,3281.5,0.7820999999999999
controle,bloco_1,local_1,60,1,85.5,30.7,51.58,3100.7,0.5158
controle,bloco_1,local_1,60,2,70.9,24.9,7.82,3161.7,0.0782
controle,bloco_1,local_1,60,3,65.7,29.4,31.72,3228.4,0.3172
controle,bloco_1,local_1,90,1,64.9,18.5,19.79,3229.4,0.1979
controle,bloco_1,local_1,90,2,59,30,47.66,3395.9,0.47659999999999997
controle,bloco_1,local_1,90,3,65.1,27.4,65.25,3244.2,0.6525
controle,bloco_1,local_2,30,1,83.5,19.2,65.14,3141,0.6514
controle,bloco_1,local_2,30,2,79.7,18.2,76.82,3097,0.7681999999999999
controle,bloco_1,local_2,30,3,55.6,26.4,86.3,3273.7,0.863
controle,bloco_1,local_2,60,1,68.2,24.2,40.67,3145.9,0.4067
controle,bloco_1,local_2,60,2,84.4,20.4,12.97,3191.4,0.1297
controle,bloco_1,local_2,60,3,69,26.9,34.09,3129.6,0.34090000000000004
controle,bloco_1,local_2,90,1,81.4,28.4,5.37,3102.1,0.0537
controle,bloco_1,local_2,90,2,85.6,30.8,50.53,3318.8,0.5053
controle,bloco_1,local_2,90,3,77.6,30.5,54.86,3143.3,0.5486
controle,bloco_1,local_3,30,1,85.4,25,41.7,3086.2,0.41700000000000004
controle,bloco_1,local_3,30,2,79.6,31,71.45,3236.1,0.7145
controle,bloco_1,local_3,30,3,63.3,29.1,28.29,3087.6,0.2829
controle,bloco_1,local_3,60,1,60.8,18.9,35.1,3246,0.35100000000000003
controle,bloco_1,local_3,60,2,59,18.8,54.89,3194.7,0.5489
controle,bloco_1,local_3,60,3,62.5,23.1,62.11,3252.3,0.6211
controle,bloco_1,local_3,90,1,83.3,28.3,74.5,3274.6,0.745
controle,bloco_1,local_3,90,2,62.8,29.7,53.2,3308,0.532
controle,bloco_1,local_3,90,3,88.6,27,39.04,3386.5,0.39039999999999997
controle,bloco_2,local_1,30,1,74.4,28.1,38.5,3265.7,0.385
controle,bloco_2,local_1,30,2,77.9,25.5,60.39,3280.3,0.6039
controle,bloco_2,local_1,30,3,76,27.5,77.72,3204.4,0.7772
controle,bloco_2,local_1,60,1,67.6,26.9,47.22,3230.9,0.4722
controle,bloco_2,local_1,60,2,85,26.9,43.11,3350.4,0.4311
controle,bloco_2,local_1,60,3,56.2,28.7,79.93,3352.8,0.7993000000000001
controle,bloco_2,local_1,90,1,62.9,24.7,51.54,3257.8,0.5154
controle,bloco_2,local_1,90,2,65,31.8,36.1,3320.3,0.361
controle,bloco_2,local_1,90,3,85.1,25.6,68.41,3240.4,0.6840999999999999
controle,bloco_2,local_2,30,1,75.8,28.7,49.99,3191.9,0.4999
controle,bloco_2,local_2,30,2,81.3,23.2,79.51,3278.6,0.7951
controle,bloco_2,local_2,30,3,65.6,21.3,74.92,3233.3,0.7492
controle,bloco_2,local_2,60,1,85.5,24.8,74.41,3328,0.7441
controle,bloco_2,local_2,60,2,88.5,24.1,68.19,3193.5,0.6819
controle,bloco_2,local_2,60,3,74.6,29.8,47.22,3064.7,0.4722
controle,bloco_2,local_2,90,1,79.6,27.9,2.63,3281.5,0.0263
controle,bloco_2,local_2,90,2,79.7,22.3,63.97,3252.2,0.6396999999999999
controle,bloco_2,local_2,90,3,80.1,26.9,16.55,3046.4,0.1655
controle,bloco_2,local_3,30,1,81.1,25.4,27.98,3215.2,0.2798
controle,bloco_2,local_3,30,2,62.6,18.2,34.29,3436.3,0.3429
controle,bloco_2,local_3,30,3,88.3,27.8,57.21,3301.2,0.5721
controle,bloco_2,local_3,60,1,58.5,28,56.29,3142.5,0.5629
controle,bloco_2,local_3,60,2,88.1,29.5,62.5,3334.1,0.625
controle,bloco_2,local_3,60,3,77.8,24.5,72.82,3552,0.7282
controle,bloco_2,local_3,90,1,73,29.9,26.73,3140.4,0.2673
controle,bloco_2,local_3,90,2,63.7,28.5,46.1,3172.3,0.461
controle,bloco_2,local_3,90,3,67.5,28.6,15.11,3294.4,0.15109999999999998
controle,bloco_3,local_1,30,1,57.3,27.3,94.9,3255.6,0.9490000000000001
controle,bloco_3,local_1,30,2,57,24.3,53.16,3259.9,0.5316
controle,bloco_3,local_1,30,3,78.9,20.7,27.53,3154.1,0.2753
controle,bloco_3,local_1,60,1,62.8,22.7,38.65,3338.7,0.3865
controle,bloco_3,local_1,60,2,59.7,27.9,47.52,3224.9,0.4752
controle,bloco_3,local_1,60,3,65.4,20.3,50.16,3291.3,0.5015999999999999
controle,bloco_3,local_1,90,1,66.7,25,42.81,3311.3,0.42810000000000004
controle,bloco_3,local_1,90,2,66.3,24.9,26.18,3249.8,0.2618
controle,bloco_3,local_1,90,3,72.9,24.6,51.58,3106.8,0.5158
controle,bloco_3,local_2,30,1,86,31.6,48.82,3303,0.4882
controle,bloco_3,local_2,30,2,79.8,26.3,68.37,3134.7,0.6837000000000001
controle,bloco_3,local_2,30,3,82.5,21.1,87.99,3382.3,0.8798999999999999
controle,bloco_3,local_2,60,1,71,25.2,55.46,3333.2,0.5546
controle,bloco_3,local_2,60,2,81.9,20.9,58.55,3168.5,0.5855
controle,bloco_3,local_2,60,3,80.5,26.4,25.43,3112.7,0.25429999999999997
controle,bloco_3,local_2,90,1,87.5,23.1,53.64,3373.8,0.5364
controle,bloco_3,local_2,90,2,84.3,26.8,37.95,3428.2,0.3795
controle,bloco_3,local_2,90,3,64.7,22.4,13.25,3322,0.1325
controle,bloco_3,local_3,30,1,79.9,25.4,77.2,3145.8,0.772
controle,bloco_3,local_3,30,2,59.5,24.5,73.32,2996.9,0.7332
controle,bloco_3,local_3,30,3,78.8,22.1,90.44,3378.5,0.9044
controle,bloco_3,local_3,60,1,79.7,24.5,87.67,3263.3,0.8767
controle,bloco_3,local_3,60,2,88.9,23.5,44.75,3267.9,0.4475
controle,bloco_3,local_3,60,3,69.5,22.7,44.14,3157,0.4414
controle,bloco_3,local_3,90,1,76.7,31.8,25.9,3316.7,0.259
